Neutrino_Energy_MeV,Neutrino_Flux_per_cm2_s_MeV
0.3005566168985043, 1278200.5049265178
0.316489228788284, 1381783.2769277683
0.33378806114416926, 1464942.7169284513
0.3531364859522581, 1583658.698386474
0.37595359148159424, 1780012.3349290856
0.3989931729281204, 1924260.9181034227
0.42410794516892747, 2080199.1133885756
0.44869339799005814, 2384111.513940299
0.4710016109332683, 2527593.767423097
0.4998665919072707, 2786175.443955957
0.5346682777024189, 3071210.9297600277
0.5647769785329154, 3385406.5419817683
0.5975142744846187, 3589149.4276474407
0.6341332090079567, 4034158.5340486295
0.6708915000946565, 4361078.545454258
0.7175978297952852, 4534343.137812636
0.7663545381151945, 4623540.000658226
0.8145930068068372, 4998222.288672458
0.8740342393653677, 5096544.302336725
0.9334209751090919, 5299028.77074907
1.0078216890012006, 5299028.77074907
1.08985711131356, 5299028.77074907
1.174886705966214, 5299028.77074907
1.2606115844778765, 4901797.093283011
1.3253490580738363, 4534343.137812636
1.386883885527856, 4194434.673683779
1.4377111036723544, 3880006.805194632
1.499757473822, 3452002.2172149657
1.5425952931580276, 2953854.987869794
1.5792278818308993, 2628014.4544608654
1.611672111654075, 2205391.0998945422
1.6396442763078367, 1887138.272432191
1.6628753629046265, 1408964.8839849452
1.683800119821498, 1072647.074927891
1.6996653372137371, 865753.4822229679
1.7156683576426783, 621684.7582482485
1.726407596114943, 437810.28121757036
1.7344854465792519, 274309.1350474798
1.7424903411700923, 57732.6270272533
1.7448770236754083, 1985.1820443027264
1.7473225021720427, 117.77849210928025
